,Title,label,CMIP6 Title,Coordinates,Cell Measures,description
recp9KKCUzkL01EHH,"Temporal mean, Global field on 40 altitude levels [XY-H40] {scatratio:} [tmean]",str-136,"Temporal mean, Global field on 40 altitude levels [XY-H40] {scatratio:} [tmean]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recpAQwvUHDTi3X2L,"Fixed, Atmospheric profile (model half-levels) [na-A] {spectband:}",str-b269,"Fixed, Atmospheric profile (model half-levels) [na-A] {spectband:}",,,
recpBn5PVzJAkxi17,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amse-tpt]",str-a062,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amse-tpt]",,area: areacello,
recpLV0FyYZHWrYJN,"Temporal mean, Global field (single level) [XY-na] {:typeveg} [amnla-tmn]",str-h030,"Temporal mean, Global field (single level) [XY-na] {:typeveg} [amnla-tmn]",typeveg,area: areacella,
recpUSUGVZNXJ7ozC,"Temporal mean, Greenland Polar Stereographic Grid [XYG-na] [amngi-twmn]",str-b164,"Temporal mean, Greenland Polar Stereographic Grid [XYG-na] [amngi-twmn]",,area: areacellg,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recqBF4Z3C8ErdgOE,"Temporal mean, Global field (single level) [XY-na] {:typecrop} [amnlax-tmn]",str-h038,"Temporal mean, Global field (single level) [XY-na] {:typecrop} [amnlax-tmn]",typecrop,area: areacella,
recqWDtizGZP9g0dU,"Temporal mean, Global field (4 pressure levels) [XY-P4]",str-b120,"Temporal mean, Global field (4 pressure levels) [XY-P4]",,area: areacella,
recqsV1oByF874fLf,"Instantaneous value (i.e. synoptic or time-step value), Global field, single level [XY-na] {effectRadLi tau:} [amn-tpt]",str-d80,"Instantaneous value (i.e. synoptic or time-step value), Global field, single level [XY-na] {effectRadLi tau:} [amn-tpt]",,area: areacella,
recqtvNMWLXLApVMT,Time and Area Mean on Single Level,str-013,"Temporal mean, Global field (single level) [XY-na] [am-tm]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recrE4lO3g3I7qFeC,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",str-287,"Temporal mean, Global field (27 pressure levels) [XY-P27] [tmean]",,area: areacella,
recrVpk920grPNZwG,"Climatological mean, Global field (single level) [XY-na] [aclim]",str-a019,"Climatological mean, Global field (single level) [XY-na] [aclim]",,area: areacello,
recroivfbhjvhHxbL,"Temporal mean, Global field (single level) [XY-na] {:p700} [tmean]",str-209,"Temporal mean, Global field (single level) [XY-na] {:p700} [tmean]",p700,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rect4xf7VTgv56ubz,"Temporal mean, Global field (single level) [XY-na] {:typeburnt} [amnlax-tmn]",str-h028,"Temporal mean, Global field (single level) [XY-na] {:typeburnt} [amnlax-tmn]",typeburnt,area: areacella,
rectu3jLz2AXntF6o,"Temporal Maximum, Global field (single level) [XY-na] {:height100m} [tmax]",str-h057,"Temporal Maximum, Global field (single level) [XY-na] {:height100m} [tmax]",height100m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recu5hfp8wHUiafXj,"Temporal mean, Global field (single level) [XY-na] [tmin]",str-d04,"Temporal mean, Global field (single level) [XY-na] [tmin]",,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recu8fc0cKzhmqYlH,"Temporal mean, Global mean/constant [na-na]",str-b193,"Temporal mean, Global mean/constant [na-na]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recuEH6yv3HsyqF6C,"Temporal mean, Global field (single level) [XY-na] {on model mesh points} [tmean]",str-b141,"Temporal mean, Global field (single level) [XY-na] {on model mesh points} [tmean]",,--MODEL,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recuN71O48c3d83r3,"Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [am-tm]",str-b123,"Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [am-tm]",,area: areacellg,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recumFMgY465vn3vH,"Temporal mean, Global field (single level) [XY-na] {iceband:} [amnsib-twm]",str-d57,"Temporal mean, Global field (single level) [XY-na] {iceband:} [amnsib-twm]",,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recv7oemCOcGACenm,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amnla-tpt]",str-h041,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amnla-tpt]",,area: areacella,
recvKw9OtJy8Yyt01,"Temporal mean, Global field (single level) [XY-na] {:p220} [tmean]",str-122,"Temporal mean, Global field (single level) [XY-na] {:p220} [tmean]",p220,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recvN2q5XDkyg6bao,"Temporal mean, Global field (single level) [XY-na] {:typec4crop} [amnlax-tmn]",str-z102,"Temporal mean, Global field (single level) [XY-na] {:typec4crop} [amnlax-tmn]",typec4crop,area: areacella,
recvuXlLNoEGMjRGr,"Temporal weighted mean, Global field (single level) [XY-na] {:typesirdg} [amnsi-twm]",str-z105,"Temporal weighted mean, Global field (single level) [XY-na] {:typesirdg} [amnsi-twm]",typesirdg,area: areacello,
recwdZuarUX9hasNb,"Climatological mean, Global ocean field on model levels [XY-O] [aclim]",str-a072,"Climatological mean, Global ocean field on model levels [XY-O] [aclim]",,area: areacello volume: volcello,
recxDSqLYdqwdInBA,"Temporal mean, Global field (single level) [XY-na] [amv-twm]",str-h388,"Temporal mean, Global field (single level) [XY-na] [amv-twm]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recxHzzriEwSLGoys,"Synoptic Field on Three Pressure Levels, Cell Mean",str-268,"Instantaneous value (i.e. synoptic or time-step value), Global field (3 pressure levels) [XY-P3] [amn-tpt]",,area: areacella,
recxK4v6RfaEVMPXu,"Instantaneous value (i.e. synoptic or time-step value), Zonal mean (on model levels) [Y-A] [tpt]",str-b128,"Instantaneous value (i.e. synoptic or time-step value), Zonal mean (on model levels) [Y-A] [tpt]",,,
recxV4GrrLGtukYpC,"Instantaneous value (i.e. synoptic or time-step value), Site (specific locations requested by CFMIP) [S-na] {:height10m} [apt-tpt]",str-d33,"Instantaneous value (i.e. synoptic or time-step value), Site (specific locations requested by CFMIP) [S-na] {:height10m} [apt-tpt]",height10m,,
recxg8uMPNoDH5gVD,"Instantaneous value (i.e. synoptic or time-step value),, Global field on soil levels [XY-S] [amn-tpt]",str-x385,"Instantaneous value (i.e. synoptic or time-step value),, Global field on soil levels [XY-S] [amn-tpt]",,area: areacella,
recxubwViAhffzzrx,"Temporal mean, Global field (single level) [XY-na] {:typepdec} [amnlax-tmn]",str-h035,"Temporal mean, Global field (single level) [XY-na] {:typepdec} [amnlax-tmn]",typepdec,area: areacella,
recyRLYOObdH5KmnL,"Mean Daily Maximum, Global field (single level) [XY-na] {:height10m} [dmax]",str-549,"Mean Daily Maximum, Global field (single level) [XY-na] {:height10m} [dmax]",height10m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
recyU3jTPp8FhghJT,Global Field (model levels) [XY-A],str-x269,Global Field (model levels) [XY-A],,area: areacella,
recygvrnrmRzN1HQL,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere half-levels [XY-AH] {spectband:} [tpt]",str-e47,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere half-levels [XY-AH] {spectband:} [tpt]",,area: areacella,
reczkpzgWSJPLMXX6,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere levels [XY-A] [amn-tpt]",str-018,"Instantaneous value (i.e. synoptic or time-step value), Global field on model atmosphere levels [XY-A] [amn-tpt]",,area: areacella,
