,Name,Title,CF Standard Name,Units,UID,Provenance,Name Validation,Status,CMOR Variables,Description,is alias (from CF Standard Name),Created,Last Modified By,Atmosphere team review status,Tagged author team,Data protection consent,Proposer name,Proposer email,Justification for inclusion,Atmosphere team review status copy 4,Processing Note,Proposed CF Standard Name,Proposed CF Standard Name Description,Processing Comment,Atmosphere review comments copy,Comments,Edited by author teams,Atmosphere team review status copy 2,Atmosphere team review status copy 5,Atmosphere team review status copy 6,Atmosphere review comments,CF Standard Name Proposal Accepted
recU6s7xes2z4Axoy,tntrlcs,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating,tendency_of_air_temperature_due_to_longwave_heating_assuming_clear_sky,K s-1,59170a02-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [CFMIP],1,Existing physical parameter,"['recQK3uOCMBnJq67y', 'recHlgs94raxteCSD', 'recQw3s90LSec4RsK', 'recAW7kNNntwdu2Mm']","Tendency of Air Temperature due to Clear Sky Longwave Radiative Heating
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recU7h7FU2DBYbYbn,c14Litter,Mass of 14C in Litter Pool,litter_mass_content_of_14C,kg m-2,590e29c8-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['reciRIMrSoyu960i6'],"Carbon-14 mass content per unit area litter (dead plant material in or above the soil).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUCw3dS1Dyj1Z6J,rlutcso3ref,Top of atmosphere outgoing longwave radiative flux under clear-sky conditions from diagnostic call to radiation scheme with a reference ozone field,toa_outgoing_longwave_flux_assuming_clear_sky_and_reference_mole_fraction_of_ozone_in_air,W m-2,,,1,Under review,['recIdB9zZkz78NR1E'],,0 checked out of 1,2024-08-29T11:20:30.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"When used in combination with output from the prognostic call to the radiation scheme, it can be used to diagnose instantaneous radiative forcing of ozone
",,,,,,,,,,,,,
recUDAjvp3rFWUmed,dxuo,Eastward gridbox width on u points,,m,,,1,Under review,['recxGyH2GomNv8HMb'],,,2024-09-08T20:31:35.000Z,Automations,,['Ocean & sea-ice'],True,Jenny Mecking – Ocean and Sea Ice Author Team – National Oceanography Centre – Climate and Uncertainty group,jmecki@noc.ac.uk,"To be able to do accurate calculations for the ocean model the width of the gridboxes in both the east/west and north/south direction is essential. This is particularly true if ocean transects are being investigated. Furthermore, attempting to estimate these parameters using the longitudes and latitudes from the t,u and v grid points often leads to incorrect values due to some models artificially narrowing channels (e.g. Strait of Gibraltar and between various islands in the Indonesian Through flow region.
",,,eastward_ocean_gridbox_length_at_u_point,https://github.com/cf-convention/vocabularies/issues/219,,,,True,In progress,,,,
recUE7Jfb25KIx2Lq,fddtdip,Rate of Change of Net Dissolved Inorganic Phosphorus,tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus,mol m-2 s-1,80a2832b0619764647393e3815ff399b,"CMIP5_Omon,PMIP3_Oclim,PMIP3_Omon",1,Existing physical parameter,['recgGtAqRKYXnJYs2'],"vertical integral of net  time rate of change of phosphate
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUFdqRWW5ghouPI,sispeed,Sea-Ice Speed,sea_ice_speed,m s-1,590f4f2e-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,"['recu21TXZmZLNVAZY', 'recR8yoX4QDpxZjFH']","Speed of ice (i.e. mean absolute velocity) to account for back-and-forth movement of the ice
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recUFrVK0c4YEcbRY,tsnl,Temperature Profile in the Snow,temperature_in_surface_snow,K,5914277e-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,,"Temperature in the snow pack present in the grid cell. 3D variable for multi-layer snow schemes.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUGwufeGefyRgpG,rsdcsbnd,Downwelling Clear-Sky Shortwave Radiation at Each Level for Each Band,downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,ebd63780-a0de-11e6-bc63-ac72891c3257,CMIP6 endorsement [RFMIP],1,Existing physical parameter,['recBlp3Jwj3QDjhGz'],"Calculated with aerosols but without clouds. This is a standard clear-sky calculation
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUIp5KwoNRSr9x6,epc100,Downward Flux of Particulate Organic Carbon,sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,mol m-2 s-1,4500aac3ce5985eff562e6a170a88574,OMIP,1,Existing physical parameter,['recHzF2IU4Tkwwg0R'],"The phrase 'expressed\_as' is used in the construction A\_expressed\_as\_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUKZBLRmQwPwjVI,n2oglobal,Global Mean Mole Fraction of N2O,mole_fraction_of_nitrous_oxide_in_air,1E-09,09c328529f2fac58c1b016da33ba394c,"CMIP5_Amon,PMIP3_Aclim,PMIP3_Amon",1,Existing physical parameter,['recfoR5oY4M2FGHrv'],"Global mean Nitrous Oxide (N2O)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUO1kGOQJNgbfez,zsatcalc,Calcite Saturation Depth,minimum_depth_of_calcite_undersaturation_in_sea_water,m,7324bbd4b756759ef380f305fe5856b2,OMIP,1,Existing physical parameter,['recgQ8TE0Xs67nJaB'],"Depth of calcite saturation horizon (0 if undersaturated at all depths, and missing saturated through whole depth; if two or more horizons exist, then the shallowest is reported)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUOLVT16sREwNvi,va200,Northward wind at 200 hPa,northward_wind,m s-1,,,1,Under review,['recTjal2AlmHvE2Dj'],,0 checked out of 1,2024-09-13T15:46:42.000Z,Beth Dingley,In progress,['Atmosphere'],True,Isla Simpson,islas@ucar.edu,"Northward wind at 200hPa, 6 hurly instantaneous, when combined with the 250hPa version of this parameter can be used to compute deep layer shear.
",,,,,,,,,,,,,
recUS1st4VL3BHfpU,spco2nat,Natural Surface Aqueous Partial Pressure of CO2,surface_carbon_dioxide_natural_analogue_partial_pressure_difference_between_sea_water_and_air,Pa,c972f264-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recXODF0KITXb7KiQ'],"The surface called ""surface"" means the lower boundary of the atmosphere. The chemical formula for carbon dioxide is CO2. In ocean biogeochemistry models, a ""natural analogue"" is used to simulate the effect on a modelled variable of imposing preindustrial atmospheric carbon dioxide concentrations, even when the model as a whole may be subjected to varying forcings. The partial pressure of a gaseous constituent of air is the pressure which it alone would exert with unchanged temperature and number of moles per unit volume. The partial pressure of a dissolved gas in sea water is the partial pressure in air with which it would be in equilibrium. The partial pressure difference between sea water and air is positive when the partial pressure of the dissolved gas in sea water is greater than the partial pressure in air.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUSSaYtxFzX8zkB,talkos,Surface Total Alkalinity,sea_water_alkalinity_expressed_as_mole_equivalent,mol m-3,c96d5426-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recqdwSQXRaFqDjWA'],"total alkalinity equivalent concentration (including carbonate, borate, phosphorus, silicon, and nitrogen components)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUhPdsTEIajGr9s,od550ss,Sea-Salt Aerosol Optical Depth at 550nm,atmosphere_optical_thickness_due_to_sea_salt_ambient_aerosol_particles,1,a4105b51d498d46985677801436e7649,CCMI1_monthly,1,Existing physical parameter,['recOoKW6e46VP1EWh'],"Total aerosol AOD due to sea salt aerosol at a wavelength of 550 nanometres.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUniGVxs9VZQvtt,cLitterSubSurf,Carbon Mass in Below-Ground Litter,subsurface_litter_mass_content_of_carbon,kg m-2,5913b4ec-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recfFYLpZfBzI9tIE'],"subsurface litter pool fed by root inputs.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUoevEc1iGDYXRi,ccldncl,Cloud Droplet Number Concentration of Convective Cloud Tops,number_concentration_of_convective_cloud_liquid_water_particles_at_convective_liquid_water_cloud_top,m-3,59137996-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [CFMIP],1,Existing physical parameter,"['receObIz2Xz7uZWbi', 'recPBIMjrDcWRfXQi']","Droplets are liquid only.  Report concentration 'as seen from space' over convective liquid cloudy portion of grid cell.  This is the value from uppermost model layer with liquid cloud or, if available, it is better to sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Weight by total liquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUohBQlohLsWHyf,ccb,Air Pressure at Convective Cloud Base,air_pressure_at_convective_cloud_base,Pa,13484743dd3369c69df93379e6dafbb5,"CMIP5_Amon,CMIP5_CF3hr,CMIP5_CFday,CMIP5_CFsubhr,PMIP3_Aclim,PMIP3_Amon",1,Existing physical parameter,"['reclyxck9QhSyRujA', 'recv8BVqJytjuyhAE', 'recAOXhjFTqA1LvKK']","Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUs1R9WAyQkGjOh,siflfwbot,Freshwater Flux from Sea Ice,water_flux_into_sea_water_due_to_sea_ice_thermodynamics,kg m-2 s-1,590dce42-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,['recPdCAA144RYP46e'],"Total flux of fresh water from water into sea ice divided by grid-cell area; This flux is negative during ice growth (liquid water mass decreases, hence upward flux of freshwater), positive during ice melt (liquid water mass increases, hence downward flux of freshwater)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recUsfmiyuPJjs9eV,wbgt2mmax,maximum 2m daily wet bulb globe temperature,,degC,,,1,Under review,['recJZ1zt8HwnqgEQn'],,,2024-09-15T15:32:54.000Z,Beth Dingley,In progress,"['Atmosphere', 'Impacts & Adaptation']",True,Impacts and Adaptation,ulas@envs.au.dk,"Important for the estimation of heat stress on human health
",In progress,,,,,,,,,,,,
recUuj1LUGFtVbA7Y,prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,051919eddec810e292c883205c944ceb,CMIP5_Amon,1,Existing physical parameter,"['rec71wfmUV16SHjZo', 'recVxLf8MQTlfLboB', 'recup0Iydv2TM6CoV', 'recxubpvhCklyVQ0j', 'rece90Bg0doV5zJ0R', 'recaMBawhdqVEElHN', 'receYVxCWbzZOZssO', 'recS8SouasdkDo0JC', 'rec2AlbdDQwzIIxqw']","At surface; includes precipitation of all forms of water in the solid phase
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUxGWdyaCbQgKdU,ps,Surface Air Pressure,surface_air_pressure,Pa,8c9504d28596e05586c8e193082ac617,CMIP5_6hrLev,1,Existing physical parameter,"['rec5ZGJj4Bzfw2tvD', 'recGK6XqcMN4Sjr38', 'rec0Emb2EEEnq6VoJ', 'rec7j5Xe52JOrhdnj', 'recJAEqRf9Y33ispZ', 'recIu1hTRsqnZAuDs', 'reck3nr58Zks9jvfd', 'rechMzHGH4j70aHin', 'rec9bIzVLizEdBGiG', 'recZW8cUo4vwpFwMU', 'recZZl24z3iYYagwQ', 'recmUdeaVOUfAUizu', 'recmdHQwBQP6rcq5j', 'recPJ9VVoybqUhqlw', 'recGBuZTvaT1RV1RK']","surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recUyjIlNEzPHizer,agessc,Sea Water Age Since Surface Contact,sea_water_age_since_surface_contact,yr,1bb6dca6b08a4e887ded8a455ef04941,OMIP.Omon,1,Existing physical parameter,"['recFn0MloGH1dh02t', 'recU57F8RH5fIOXXj']","Time elapsed since water was last in surface layer of the ocean.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recV0GYC9ijJnLF1o,vsfsit,Virtual Salt Flux into Sea Water Due to Sea Ice Thermodynamics,virtual_salt_flux_into_sea_water_due_to_sea_ice_thermodynamics,kg m-2 s-1,d0c290e7deb148591b62f8f050a885c2,OMIP.Omon,1,Existing physical parameter,['reccFGgsn0ExDNENL'],"This variable measures the virtual salt flux into sea water due to the melting of sea ice. It is set to zero in models which receive a real water flux.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recV0MRnWGueYXSDS,co3natos,Surface Natural Carbonate Ion Concentration,mole_concentration_of_carbonate_natural_analogue_expressed_as_carbon_in_sea_water,mol m-3,c96eddd2-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recvT1shIxlE4LOrU'],"Near surface mole concentration (number of moles per unit volume: molarity) of the natural-analogue carbonate anion (CO3). A natural analogue is used to simulate the effect on a modelled variable of imposing preindustrial atmospheric carbon dioxide concentrations, even when the model as a whole may be subjected to varying forcings. 
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recV1TpxeoIlJqIKf,mrlso,Soil Liquid Water Content,liquid_water_content_of_soil_layer,kg m-2,59130e98-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recIaKZN9slVItCt8'],"The mass (summed over all all layers) of liquid water.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recV3yVzDDvNAnEa1,emilkch4,Freshwater lake emissions of CH4,,kg m-2 s-1,,,1,Under review,['recsYEoW4zcFMjDtL'],,,2024-08-29T15:42:11.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To calculate methane budgets with new methane emissions-driven modelling capability
",,,surface_net_upward_mass_flux_of_methane_due_to_emission_from_freshwater_lakes,https://github.com/cf-convention/vocabularies/issues/214,,,,,,,,,
recV4zKVXthYP1dIT,hfibthermds,Heat Flux into Sea Water Due to Iceberg Thermodynamics,heat_flux_into_sea_water_due_to_iceberg_thermodynamics,W m-2,bd938fec017c18d3eee106db55f924c5,OMIP.Omon,1,Existing physical parameter,"['recqBB5xS2Ev9wZk0', 'recdNfkNHHf2ElH5C']","In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.  The specification of a physical process by the phrase due\_to\_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  "" Iceberg thermodynamics"" refers to the addition or subtraction of mass due to surface and basal fluxes, i.e., due to melting, sublimation and fusion.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recV6w5w2TIhf8F0y,cLitterSurf,Carbon Mass in Above-Ground Litter,surface_litter_mass_content_of_carbon,kg m-2,590f4c7c-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recXHjxZlBOne9bxa'],"Surface or near-surface litter pool fed by leaf and above-ground litterfall
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recV85EZ7tD9v1Ni6,co2,Mole Fraction of CO2,mole_fraction_of_carbon_dioxide_in_air,mol mol-1,9bb9a503065dfbd30c9bbe5c3c6abf99,"CMIP5_Amon,PMIP3_Aclim,PMIP3_Amon",1,Existing physical parameter,"['recGaqwpZvj6PW18s', 'recaEoCjwO3KBMx2U', 'recBcAH6bK7frDeOR', 'rec2oIHSIix3zRcM7', 'recDrlkPPaBsCMHw8']","Mole fraction is used in the construction mole\_fraction\_of\_X\_in\_Y, where X is a material constituent of Y.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recV8dy9g0zlXuFMf,litemptopIs,Ice Sheet Temperature at Top of Ice Sheet Model,temperature_at_top_of_ice_sheet_model,K,538248ca-bf01-11e6-a554-ac72891c3257,CMIP6 [ISMIP6],1,Existing physical parameter,['reclsTSlfeR72u1co'],"Upper boundary temperature that is used to force ice sheet models. It is the temperature at the base of the snowpack models, and does not vary with seasons. Report surface temperature of ice sheet where snow thickness is zero
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVAOHPlM6fW23eS,h2prod,chemical production of atmospheric H2,,mol m-3 s-1,,,1,Under review,['recYU63rozT6WY4V2'],,,2024-08-29T15:28:58.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To calculate hydrogen budget
",,,tendency_of_atmosphere_moles_of_hydrogen_due_to_chemical_production,https://github.com/cf-convention/vocabularies/issues/214,,,,,,,,,
recVAtV5JOsqRrpdd,clwvic,Convective Condensed Water Path,atmosphere_mass_content_of_convective_cloud_condensed_water,kg m-2,590ef7b8-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [CFMIP],1,Existing physical parameter,"['recWNbG9tsdAzh2xQ', 'recs972LyOM6JDF91']","calculate mass of convective condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVB9jETNcihxOf8,fNProduct,Deforested or Harvested Biomass as a Result of Anthropogenic Land-Use or Change,nitrogen_mass_flux_into_forestry_and_agricultural_products_due_to_anthropogenic_land_use_or_land_cover_change,kg m-2 s-1,5913e3e0-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['rec7WeHYfzlnht1xk'],"When land use change results in deforestation of natural vegetation (trees or grasslands) then natural biomass is removed. The treatment of deforested biomass differs significantly across models, but it should be straight-forward to compare deforested biomass across models.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVEy8OxCbXyGNRu,graz,Total Grazing of Phytoplankton by Zooplankton,tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_grazing_of_phytoplankton,mol m-3 s-1,28a54e8b5b73c4ae915a82ed99c74459,OMIP_Omon,1,Existing physical parameter,"['recCgmBNefot7GZ6x', 'rec0mmouY67YWldbL']","Total grazing of phytoplankton by zooplankton defined as tendency of moles of carbon per cubic metre.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVHCWjiLYvPw15X,dcalc,Calcite Dissolution,tendency_of_mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_due_to_dissolution,mol m-3 s-1,d14c09e91e6240dd9097dfad0a1853c8,OMIP,1,Existing physical parameter,['recYqCieRYg4YDtjs'],"Rate of change of Calcite carbon mole concentration  due to dissolution
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVHnHKSjhtCD3wT,phycnano,carbon concentration of nanophytoplankton,,mol m-3,,,1,New,"['recCuRKe7IKfwLKKZ', 'rec5gzcDHj5VDPSq6']",,,2024-09-22T16:55:10.000Z,Anonymous,,['Ocean & sea-ice'],True,Impacts & Adaptation,damaris.zurell@uni-potsdam.de,"Requested by Fish-MIP as part of ISIMIP. Needed for model intercomparisons for marine biodiversity and ecosystems.
",,,NA,NA,,,,,,,,,
recVKuoiq524IrWjC,seawpp,Sea Wave Peak Period,,s,,,1,New,,,,2024-09-16T15:46:51.000Z,Anonymous,,['Ocean & sea-ice'],True,André Lanfer,andre.lanfer@inpe.br,"Inclusion of the wave model's output
",,,ocean_surface_wave_peak_period_sea,https://github.com/cf-convention/vocabularies/issues/226,,,,,,,,,
recVLASN45YNgGFvl,mcd,Downdraft Convective Mass Flux,atmosphere_downdraft_convective_mass_flux,kg m-2 s-1,e889a99259ce24104c8b21894ace22da,CMIP5_CFmon,1,Existing physical parameter,['reczdxtO7nAmwMwgU'],"Calculated as the convective mass flux divided by the area of the whole grid cell (not just the area of the cloud).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVXFdxNhyYEXgjo,o2sat,Dissolved Oxygen Concentration at Saturation,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_saturation,mol m-3,e4e75ce1fe85a547cd0d39d4b64ec0e2,OMIP_Oyr,1,Existing physical parameter,"['recGSh14Z0pJtYEc9', 'reclb7Z5FREVtAYVa']","""Mole concentration at saturation"" means the mole concentration in a saturated solution. Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole\_concentration\_of\_X\_in\_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox\_expressed\_as\_nitrogen"".
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVZZ46Lexe0OiJb,lat,Latitude,latitude,degrees_north,2260e24c-b894-11e6-a189-5404a60d96b5,CMIP5_CF3hr,1,Existing physical parameter,['reci0HFrvAapuOXCb'],"Latitude is positive northward; its units of degree\_north (or equivalent) indicate this explicitly. In a latitude-longitude system defined with respect to a rotated North Pole, the standard name of grid\_latitude should be used instead of latitude. Grid latitude is positive in the grid-northward direction, but its units should be plain degree.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVZf1maRM9Bzm3b,ch3coch3,CH3COCH3 Volume Mixing Ratio,mole_fraction_of_acetone_in_air,mol mol-1,fe6c8d8e-a41f-11e5-9025-ac72891c3257,AerChemMIP endorsement (1),1,Existing physical parameter,['recCC7lTs3sGqj5Vx'],"Mole fraction is used in the construction ""mole\_fraction\_of\_X\_in\_Y"", where X is a material constituent of Y. A chemical species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox\_expressed\_as\_nitrogen"". Acetone is an organic molecule with the chemical formula CH3CH3CO. The IUPAC name for acetone is propan-2-one. Acetone is a member of the group of organic compounds known as ketones. There are standard names for the ketone group as well as for some of the individual species.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVbuRvtZB4LKUDN,flashrate,Lightning Flash Rate,frequency_of_lightning_flashes_per_unit_area,km-2 s-1,23ecf19e478a3ed9026b011e1e1fed02,CCMI1_monthly,1,Existing physical parameter,"['recQa9u7lxXoVQ6fC', 'rec7PVMuq3BPCpHrk']","proposed name: lightning\_flash\_rate (units to be interpreted as ""counts km-2 s-1)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVcCYX4Qiy7wXZk,co3nat,Natural Carbonate Ion Concentration,mole_concentration_of_carbonate_natural_analogue_expressed_as_carbon_in_sea_water,mol m-3,c9793390-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,"['recvuWVjlNmMwdXSg', 'recwljUT3MzcpE9Dt']","Surface mole concentration (number of moles per unit volume: molarity) of the natural-analogue carbonate anion (CO3). A natural analogue is used to simulate the effect on a modelled variable of imposing preindustrial atmospheric carbon dioxide concentrations, even when the model as a whole may be subjected to varying forcings. 
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVfLltN05DHvNCd,albdiffbnd,Diffuse Surface Albedo for Each Band,surface_diffuse_shortwave_hemispherical_reflectance,1,59139cfa-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [RFMIP],1,Existing physical parameter,['rec488cjKG0Pz2jP0'],"The fraction of the surface diffuse downwelling shortwave radiation flux which is reflected. If the diffuse radiation is isotropic, this term is equivalent to the integral of surface bidirectional reflectance over all incident angles and over all outgoing angles in the hemisphere above the surface. Reported in spectral frequency bands.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVhUcLuYAosNjBX,phabioos,Surface Abiotic pH,sea_water_ph_abiotic_analogue_reported_on_total_scale,1,c96d8ffe-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recem6Dwb04zMySkT'],"negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVlEmSkbESmEKjK,grplmxrat,Graupel Mixing Ratio,mass_fraction_of_graupel_in_air,1,590f21d4-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [HighResMIP],1,Existing physical parameter,"['recJSKJbMNSTE1m1r', 'recRcZMlNN67kJj4X']","Graupel mixing ratio
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recVmyFq2GS7Xjj4B,masscello,Ocean Grid-Cell Mass per Area,sea_water_mass_per_unit_area,kg m-2,9122e7b627c429163fd0857dc366e14e,OMIP.fx,1,Existing physical parameter,"['rec2ZULYWrSGgF1Z6', 'recSzj9ZO2i9jjz6b', 'recE3Kq5YrijRbJi3']","Tracer grid-cell mass per unit area used for computing tracer budgets. For Boussinesq models with static ocean grid cell thickness, masscello = rhozero\*thickcello, where thickcello is static cell thickness and rhozero is constant Boussinesq reference density. More generally, masscello is time dependent and reported as part of Omon.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,"If constant, report as a fixed configuration field, otherwise report as time varying.",,Clearly labelling where there are choices between variables.,,,,,,
recVstc0VEhEjOW3f,sifb,Sea-Ice Freeboard,sea_ice_freeboard,m,590dac64-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,"['recc58BNZfdylLNBu', 'recNIAbrsahqFqyV4']","Mean height of sea-ice surface (=snow-ice interface when snow covered) above sea level
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
